                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.22696,                0.20567,                0.87073,                0.96416,                0.97613,                0.98491,                0.90967,                0.29458,                0.47441,                0.58155,             0.00021798,             0.00021798,             0.00021798
                     70,                0.22887,                 0.2052,                0.88141,                0.96142,                0.98452,                0.98686,                0.91251,                0.29578,                0.47602,                0.58218,             0.00021137,             0.00021137,             0.00021137
                     71,                 0.2434,                 0.2115,                0.88256,                0.97333,                0.96383,                0.98604,                0.90739,                0.30596,                0.51351,                0.59104,             0.00020477,             0.00020477,             0.00020477
                     72,                0.23915,                0.21114,                0.88251,                0.96474,                0.97358,                0.98554,                0.90358,                0.30716,                0.52803,                0.58904,             0.00019817,             0.00019817,             0.00019817
                     73,                0.22455,                0.20765,                0.87973,                0.96496,                0.97286,                0.98568,                0.91545,                0.28997,                0.51425,                0.58123,             0.00019156,             0.00019156,             0.00019156
                     74,                0.22928,                0.20796,                0.88069,                0.97537,                 0.9689,                0.98579,                 0.9184,                 0.2762,                0.47751,                0.57367,             0.00018496,             0.00018496,             0.00018496
                     75,                0.21964,                0.19921,                0.87566,                0.96906,                0.97367,                0.98531,                0.92196,                0.28147,                 0.4827,                0.58242,             0.00017836,             0.00017836,             0.00017836
                     76,                0.22712,                0.21005,                0.88319,                 0.9645,                0.97465,                0.98465,                0.91724,                0.27955,                0.51079,                0.58126,             0.00017175,             0.00017175,             0.00017175
                     77,                0.23063,                0.20406,                0.88244,                0.96673,                0.98478,                0.98605,                 0.9141,                 0.2769,                0.47199,                0.57941,             0.00016515,             0.00016515,             0.00016515
                     78,                0.22468,                0.20521,                0.88294,                0.98028,                0.97465,                0.98475,                0.91602,                0.28005,                0.46637,                0.57995,             0.00015855,             0.00015855,             0.00015855
                     79,                0.22002,                0.19701,                0.87522,                0.96425,                0.98553,                0.98587,                0.91612,                0.27429,                0.45964,                0.57561,             0.00015194,             0.00015194,             0.00015194
                     80,                0.21627,                0.19663,                0.87526,                0.96728,                0.98193,                0.98663,                0.92707,                0.26584,                0.46433,                0.57366,             0.00014534,             0.00014534,             0.00014534
                     81,                0.21906,                0.19686,                0.88066,                0.97632,                0.98184,                0.98774,                0.93021,                0.27078,                0.43978,                0.57343,             0.00013874,             0.00013874,             0.00013874
                     82,                0.21239,                0.19402,                0.87945,                0.97578,                0.98185,                0.98664,                0.91826,                0.28006,                0.44857,                0.57927,             0.00013213,             0.00013213,             0.00013213
                     83,                0.20819,                0.19005,                0.87494,                0.97623,                0.97948,                0.98648,                0.91963,                0.27223,                0.45023,                0.57611,             0.00012553,             0.00012553,             0.00012553
                     84,                0.21244,                0.18977,                0.87536,                0.97173,                0.98293,                0.98598,                0.92147,                0.28068,                0.45957,                0.57763,             0.00011893,             0.00011893,             0.00011893
                     85,                0.20785,                 0.1866,                0.87101,                0.96941,                0.97918,                0.98628,                 0.9204,                0.28443,                0.47486,                  0.581,             0.00011232,             0.00011232,             0.00011232
                     86,                0.21401,                0.19851,                 0.8779,                0.97131,                0.98264,                0.98589,                0.92318,                0.27749,                0.46319,                0.57846,             0.00010572,             0.00010572,             0.00010572
                     87,                0.21443,                0.19977,                 0.8787,                0.97287,                0.98267,                0.98747,                0.92868,                0.26423,                 0.4489,                0.56951,             9.9116e-05,             9.9116e-05,             9.9116e-05
                     88,                0.20328,                0.18733,                 0.8743,                0.97012,                0.98283,                0.98742,                0.93126,                 0.2631,                0.44546,                0.56759,             9.2513e-05,             9.2513e-05,             9.2513e-05
                     89,                0.19999,                0.18395,                0.87273,                0.97644,                0.97691,                0.98654,                 0.9294,                0.26973,                0.43762,                0.57196,              8.591e-05,              8.591e-05,              8.591e-05
                     90,                0.20567,                0.18732,                0.87724,                0.97024,                0.98409,                0.98733,                0.93128,                0.26843,                 0.4323,                0.57265,             7.9306e-05,             7.9306e-05,             7.9306e-05
                     91,                0.22196,                0.23305,                0.86269,                0.97294,                0.97585,                0.98474,                0.89686,                0.27089,                0.47538,                0.56891,             7.2703e-05,             7.2703e-05,             7.2703e-05
                     92,                0.20743,                0.20401,                0.85488,                 0.9722,                0.98387,                 0.9874,                0.91009,                0.24757,                0.41182,                0.56398,               6.61e-05,               6.61e-05,               6.61e-05
                     93,                0.19223,                0.19013,                0.83245,                0.97609,                0.98603,                0.98809,                0.91496,                0.24434,                0.39265,                0.56345,             5.9496e-05,             5.9496e-05,             5.9496e-05
                     94,                0.18887,                0.18021,                0.83678,                0.97192,                0.98242,                0.98776,                0.91563,                0.23807,                 0.4007,                0.55767,             5.2893e-05,             5.2893e-05,             5.2893e-05
                     95,                0.18786,                0.17839,                 0.8333,                0.98201,                0.97786,                0.98819,                0.91966,                0.23097,                 0.3871,                0.55521,              4.629e-05,              4.629e-05,              4.629e-05
                     96,                0.17827,                0.17164,                0.82967,                0.98372,                0.97731,                0.98847,                0.91933,                0.22884,                0.37416,                0.55407,             3.9687e-05,             3.9687e-05,             3.9687e-05
                     97,                0.17616,                0.16481,                0.83068,                0.98153,                0.98024,                0.98743,                0.91118,                0.22791,                0.37323,                0.55321,             3.3083e-05,             3.3083e-05,             3.3083e-05
                     98,                0.17428,                0.16212,                0.83435,                0.98489,                0.97769,                 0.9872,                0.91464,                0.22347,                0.36977,                0.55185,              2.648e-05,              2.648e-05,              2.648e-05
                     99,                0.16891,                0.15635,                0.82322,                0.98447,                0.97939,                0.98755,                0.91539,                 0.2222,                0.36488,                0.55212,             1.9877e-05,             1.9877e-05,             1.9877e-05
                    100,                0.16671,                0.15874,                  0.827,                0.98332,                0.97963,                0.98722,                0.91288,                0.21901,                0.36441,                 0.5502,             1.3273e-05,             1.3273e-05,             1.3273e-05
