                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    113,                0.43566,                0.35563,                0.96027,                 0.9868,                0.98466,                0.99163,                0.86679,                0.34981,                0.56884,                0.62064,              0.0006304,              0.0006304,              0.0006304
                    114,                0.43694,                0.36925,                0.96708,                0.99166,                0.96814,                 0.9913,                0.86931,                0.33167,                0.57228,                0.60913,              0.0006271,              0.0006271,              0.0006271
                    115,                0.41934,                0.35673,                0.96966,                0.97714,                0.98158,                0.99145,                0.88606,                0.33576,                0.54498,                0.61506,              0.0006238,              0.0006238,              0.0006238
                    116,                0.40922,                0.34461,                0.95152,                0.98222,                0.99042,                0.99147,                0.88858,                0.32671,                0.49796,                0.60559,              0.0006205,              0.0006205,              0.0006205
                    117,                0.40693,                0.32989,                0.94977,                0.97664,                0.98075,                0.99142,                0.87807,                0.35295,                0.52358,                0.63757,              0.0006172,              0.0006172,              0.0006172
                    118,                 0.4307,                 0.3453,                 0.9682,                 0.9834,                0.99087,                0.99134,                0.89402,                  0.299,                0.48836,                 0.5966,              0.0006139,              0.0006139,              0.0006139
                    119,                0.44292,                0.36633,                0.96781,                 0.9852,                0.98736,                0.99178,                0.88675,                0.29641,                0.46206,                 0.5958,              0.0006106,              0.0006106,              0.0006106
                    120,                0.41905,                0.34695,                0.95389,                 0.9742,                0.98712,                0.99183,                0.88599,                0.35565,                0.54508,                0.62975,              0.0006073,              0.0006073,              0.0006073
                    121,                0.43014,                0.35489,                0.96052,                0.98669,                0.96243,                0.98606,                0.86699,                0.34964,                 0.5942,                0.65149,               0.000604,               0.000604,               0.000604
                    122,                0.43153,                0.35532,                0.97152,                0.98581,                0.96847,                0.98502,                 0.8663,                 0.3444,                0.57262,                0.63015,              0.0006007,              0.0006007,              0.0006007
                    123,                0.40736,                 0.3324,                0.95314,                0.99461,                0.98479,                0.99235,                0.87672,                  0.294,                0.48396,                0.58852,              0.0005974,              0.0005974,              0.0005974
                    124,                0.42106,                0.35055,                0.96399,                0.99286,                0.97728,                0.98959,                 0.8727,                0.30726,                0.49427,                0.60778,              0.0005941,              0.0005941,              0.0005941
                    125,                0.40737,                0.34926,                0.95543,                0.99135,                0.96629,                0.99165,                0.87875,                0.30074,                0.48348,                0.60294,              0.0005908,              0.0005908,              0.0005908
                    126,                0.38227,                0.32389,                0.93972,                0.99014,                0.98581,                0.99178,                0.89019,                0.29363,                0.49222,                0.59829,              0.0005875,              0.0005875,              0.0005875
                    127,                0.40493,                0.33173,                0.95655,                0.99375,                0.98336,                0.99217,                0.90496,                0.27718,                0.48631,                 0.5862,              0.0005842,              0.0005842,              0.0005842
                    128,                 0.4166,                0.33483,                0.96975,                0.98119,                0.98591,                0.99244,                0.90686,                0.30974,                0.55254,                0.60023,              0.0005809,              0.0005809,              0.0005809
                    129,                0.40729,                0.34176,                0.95029,                0.97209,                0.98556,                0.99127,                0.89158,                0.28164,                0.49512,                0.59617,              0.0005776,              0.0005776,              0.0005776
                    130,                0.39656,                0.31443,                 0.9487,                0.97774,                 0.9856,                0.99214,                0.89776,                 0.2759,                0.48333,                0.58182,              0.0005743,              0.0005743,              0.0005743
                    131,                0.41035,                0.32506,                0.95693,                 0.9963,                0.98832,                0.99248,                0.90163,                0.27481,                 0.4618,                0.58382,               0.000571,               0.000571,               0.000571
                    132,                 0.4163,                0.34421,                0.95584,                0.99344,                0.99033,                0.99255,                0.90073,                0.28234,                 0.4484,                0.59035,              0.0005677,              0.0005677,              0.0005677
                    133,                0.40746,                 0.3448,                0.96253,                0.99622,                0.98408,                0.99256,                0.91549,                 0.2944,                0.48002,                0.59778,              0.0005644,              0.0005644,              0.0005644
                    134,                0.38953,                0.32342,                0.94739,                0.99329,                0.98718,                0.99273,                0.90557,                0.26686,                0.46384,                0.58096,              0.0005611,              0.0005611,              0.0005611
                    135,                0.40726,                0.31871,                0.95106,                 0.9833,                0.99143,                0.99197,                 0.8789,                  0.315,                 0.4829,                0.60783,              0.0005578,              0.0005578,              0.0005578
                    136,                0.38876,                0.31364,                0.93998,                0.99156,                0.97819,                0.99245,                0.90315,                0.29155,                0.46436,                0.59949,              0.0005545,              0.0005545,              0.0005545
                    137,                0.40788,                 0.3235,                0.94881,                0.98912,                0.98015,                0.99194,                0.89343,                0.29995,                0.52055,                0.59971,              0.0005512,              0.0005512,              0.0005512
                    138,                0.39532,                0.32386,                0.94662,                0.98736,                0.98967,                0.99257,                0.89945,                0.30697,                0.52223,                0.60454,              0.0005479,              0.0005479,              0.0005479
                    139,                0.39884,                  0.325,                0.95675,                0.99462,                0.99226,                0.99287,                0.90368,                0.30503,                0.48286,                0.60241,              0.0005446,              0.0005446,              0.0005446
                    140,                0.38799,                0.31454,                0.94473,                0.99308,                0.99424,                0.99254,                0.89656,                0.30213,                0.50261,                0.60368,              0.0005413,              0.0005413,              0.0005413
                    141,                0.40084,                  0.319,                0.95617,                0.98898,                0.99128,                 0.9929,                0.90235,                0.29158,                0.49088,                0.59812,               0.000538,               0.000538,               0.000538
                    142,                0.37983,                0.30949,                0.93669,                0.98779,                0.99206,                0.99251,                0.88919,                0.30665,                0.46862,                0.59807,              0.0005347,              0.0005347,              0.0005347
                    143,                0.38501,                0.31177,                0.95545,                0.98425,                0.99339,                0.99255,                0.89264,                0.28516,                0.45745,                0.59032,              0.0005314,              0.0005314,              0.0005314
                    144,                0.40215,                0.32979,                0.94632,                0.98545,                0.99151,                0.99256,                0.88304,                0.29683,                0.45202,                0.59206,              0.0005281,              0.0005281,              0.0005281
                    145,                0.39056,                0.31527,                0.94173,                0.98241,                0.99408,                0.99265,                0.89285,                0.27468,                0.46481,                 0.5872,              0.0005248,              0.0005248,              0.0005248
                    146,                0.39189,                0.30851,                0.94317,                0.99506,                0.98704,                0.99278,                0.91385,                0.31828,                0.47023,                 0.6059,              0.0005215,              0.0005215,              0.0005215
                    147,                 0.3994,                 0.3113,                0.96245,                0.99197,                0.98801,                 0.9927,                0.89834,                0.28967,                0.46893,                0.59372,              0.0005182,              0.0005182,              0.0005182
                    148,                0.37826,                0.32156,                0.93996,                 0.9935,                  0.992,                0.99307,                0.90724,                0.30333,                 0.4468,                0.59224,              0.0005149,              0.0005149,              0.0005149
                    149,                0.39664,                0.30967,                0.94256,                0.98653,                0.99382,                 0.9923,                0.91193,                0.32502,                0.45395,                 0.6109,              0.0005116,              0.0005116,              0.0005116
                    150,                0.38382,                0.30234,                 0.9437,                0.97379,                0.96577,                0.98659,                0.86124,                0.37489,                0.58905,                0.65648,              0.0005083,              0.0005083,              0.0005083
                    151,                0.38191,                0.30996,                0.93399,                0.99053,                0.99068,                0.99258,                0.88886,                0.29101,                0.50021,                0.60613,               0.000505,               0.000505,               0.000505
                    152,                0.38291,                0.31099,                0.94538,                0.99084,                0.98118,                0.99224,                0.91962,                0.26897,                0.45973,                0.58946,              0.0005017,              0.0005017,              0.0005017
                    153,                 0.3771,                0.29805,                0.93646,                 0.9925,                 0.9739,                0.99195,                0.91304,                0.29415,                0.45965,                0.59538,              0.0004984,              0.0004984,              0.0004984
                    154,                0.39033,                0.31597,                0.93736,                0.97973,                0.98871,                0.99242,                0.92137,                0.26477,                0.43318,                0.58149,              0.0004951,              0.0004951,              0.0004951
                    155,                0.37381,                0.30785,                0.94492,                0.98958,                0.98496,                0.99163,                0.93381,                0.29053,                0.45139,                0.59422,              0.0004918,              0.0004918,              0.0004918
                    156,                0.36985,                0.31712,                0.93342,                0.99128,                0.98113,                0.99247,                0.92274,                0.28525,                0.46156,                0.59135,              0.0004885,              0.0004885,              0.0004885
